"id","title","body"
"item.actionType","ACTION","「行動可能」で判定するタスクです。選んだタスクに有効な対象があり、設備・資源・クールタイム等の条件を満たすとTRUEになります。"
"item.seed","SEED","種まき・調達・条件判定の対象となる種子を選びます。種まきの「おまかせ」は、所持中の種を一覧の上から順に使います。"
"item.crop","CROP","育成管理・出荷・収穫済み在庫の判定対象となる作物を選びます。育成管理では「全作物」も指定できます。"
"item.market","TO","出荷先の市場を選びます。市場が未解放、または指定作物を扱えない場合は出荷できません。"
"item.packs","PACKS","1回の調達で購入するパック数です。1〜12の範囲で指定し、支払額は現在価格×パック数になります。"
"item.operator","TEST","CHECKで取得した現在値とVALUEの比較方法です。たとえば「種子在庫数・以下・5」で在庫5以下を判定できます。"
"item.value","VALUE","条件判定で比較する基準値です。直接入力するか、下の−10・−5・＋5・＋10で調整できます。"
"item.valueStepper","VALUE ADJUST","条件値を指定量だけ増減します。長い数値を入力し直さずに微調整できます。"
"item.marketReadout","SEED MARKET","選択した種子1パックの現在価格、調達総額、値動きの方向を表示します。"
"item.everyN","N","Nサイクル毎ノードが「N回目」へ進む間隔です。このノードを通るたびにカウントが1増えます。"
"item.probability","CHANCE","気まぐれノードが「当たり」へ進む確率です。通過するたびに独立して抽選します。"
"item.grade","SKILL GRADE","選択中ロボットの、このタスクに対する技能等級です。個体特性により作業効率や消費量へ補正が入ります。"
"item.taskCost","基本消費","このタスク1回の基本消費量です。原則として電力を使い、電力が尽きた後は気力を消費して作業します。"
"item.chargeInfo","充電休憩","表示時間が経過するまでこの個体は作業しません。完了時に電力を満充電し、表示量だけ気力を回復して「次へ」へ進みます。"
"item.runtime","RUNTIME STATUS","直近の勤務サイクルで、このノードがどう判定・実行されたかを表示します。「—」は直近サイクルで未通過です。"
"item.deleteNode","DELETE NODE","このノードと、接続されているすべての線を削除します。"
"argument.default","{label}","このノードの実行条件または対象を設定します。"
"condition.current_suffix",""," 現在の判定: {condition}"
"condition.action_available","","選択したタスクを今すぐ実行できるか判定します。対象・設備・資源・クールタイムなどを含みます。"
"condition.inventory","","選択した作物の収穫済み在庫数を判定します。「すべて」なら全作物の合計です。"
"condition.seed","","選択した種子の在庫数を判定します。植え付けに使える種子の残数です。"
"condition.seed_price","","選択した種子1パックの現在価格を判定します。安値での自動調達に利用できます。"
"condition.money","","現在の所持金を判定します。"
"condition.water","","現在保有している水の量を判定します。"
"condition.nutrient","","現在保有している養液の量を判定します。"
"condition.energy","","選択中ロボットの現在電力を判定します。"
"condition.morale","","選択中ロボットの現在気力を判定します。"
"node.event","EVENT // 稼働サイクル開始","稼働中、ここからパルスが流れます。 接続がない場合、この個体はブループリントによる自動作業を行いません。"
"node.branch","BRANCH // 分岐","接続したBOOL条件に応じて処理を分けます。 BOOL入力が未接続なら処理は失敗扱いとなり、その勤務サイクルはそこで止まります。"
"node.sequence","SEQUENCE // シーケンス","上から順に、成立する処理を探します。 ①から順に試し、失敗した枝だけ次へ進みます。作業の優先順位づけに使えます。"
"node.flipflop","FLIP FLOP // フリップフロップ","呼ばれるたびにAとBを交互に実行します。 選択先は通過時点で切り替わるため、接続先が失敗しても次回は反対側になります。"
"node.daily","DO ONCE / DAY // 1日1回","その日の初回と実行済みで処理を分けます。 初回判定はこのノードを通った時点で記録され、接続先の成功・失敗には左右されません。"
"node.every","DO EVERY N // Nサイクル毎","指定した勤務サイクルごとに処理を分けます。 カウントはこのノードを通るたびに増え、2・3・5サイクル間隔から選べます。"
"node.random","RANDOM // 気まぐれ","指定確率で当たりと外れに処理を分けます。 抽選はこのノードを通るたびに独立して行われます。"
"node.condition","CONDITION // 条件","在庫・資源・行動可否などを判定し、BOOL値を出力します。 このノード自体は作業を行いません。BOOL出力を分岐ノードのBOOL入力へ接続してください。"
"node.harvest","TASK // 収穫","範囲内で収穫可能な作物を1つ収穫します。 成功するとその勤務サイクルの作業は完了します。実行できなかった場合だけ「次へ」端子へ進みます。"
"node.ship","TASK // 出荷","指定した作物を指定市場へ1単位出荷します。 成功するとその勤務サイクルの作業は完了します。実行できなかった場合だけ「次へ」端子へ進みます。"
"node.plant","TASK // 種まき","指定した種を範囲内の空きスロットへ1つ植えます。「おまかせ」は所持中の種を一覧の上から選びます。成功するとその勤務サイクルの作業は完了します。実行できなかった場合だけ「次へ」端子へ進みます。"
"node.care","TASK // 育成管理","成長途中で手入れ時期を迎えた植物を1株管理します。1回ごとに成長を5%進め、収穫時の品質判定を少し改善します。時期を逃しても植物は通常どおり成長します。成功するとその勤務サイクルの作業は完了し、実行できなかった場合だけ「次へ」端子へ進みます。"
"node.procure","TASK // 調達","指定した種を時価で1〜12パックまとめて購入します。調達端末が必要です。 成功するとその勤務サイクルの作業は完了します。実行できなかった場合だけ「次へ」端子へ進みます。"
"node.cleaning","TASK // 清掃","範囲内で汚れている設備を1つ清掃します。 成功するとその勤務サイクルの作業は完了します。実行できなかった場合だけ「次へ」端子へ進みます。"
"node.rest","TASK // 充電休憩","一定時間作業を止め、完了時に電力を満充電し、気力を少量回復します。 充電を開始すると完了までRUNNINGとなり、完了後に「次へ」へ進みます。すでに満充電なら待たずに進みます。"
"node.locked_suffix",""," 現在はロック中です: {reason}。"
"pin.boolean.input","{label} // {direction}","条件ノードのBOOL出力をここへ接続します。TRUEまたはFALSEに応じて分岐先が決まります。"
"pin.boolean.output","{label} // {direction}","この条件の判定結果をTRUE/FALSEで出力します。分岐ノードのBOOL入力へ接続してください。"
"pin.exec.input","{label} // {direction}","実行線の入口です。上流ノードの出力端子からここへ接続すると、処理が到達した際にこのノードを実行します。"
"pin.task.failure","{label} // {direction}","対象なし・資源不足・クールタイム中などで、このタスクを実行できなかった場合だけここへ進みます。成功時は勤務サイクルを終了します。"
"pin.output.event","{label} // {direction}","勤務サイクル開始時、最初に実行するノードへつなぎます。"
"pin.output.sequence","{label} // {direction}","{label}の優先順位でこの枝を試します。前の枝が失敗した場合にだけ到達します。"
"pin.output.branch.true","{label} // {direction}","BOOLがTRUEのとき、この枝へ進みます。"
"pin.output.branch.false","{label} // {direction}","BOOLがFALSEのとき、この枝へ進みます。"
"pin.output.flipflop","{label} // {direction}","今回は{label}側が選ばれたとき、この枝へ進みます。"
"pin.output.daily.first","{label} // {direction}","その日に初めてこのノードを通ったとき、この枝へ進みます。"
"pin.output.daily.repeat","{label} // {direction}","その日の2回目以降は、この枝へ進みます。"
"pin.output.every.nth","{label} // {direction}","通過回数が指定したNの倍数になったとき、この枝へ進みます。"
"pin.output.every.other","{label} // {direction}","N回目以外のサイクルでは、この枝へ進みます。"
"pin.output.random.hit","{label} // {direction}","確率抽選に当たったとき、この枝へ進みます。"
"pin.output.random.miss","{label} // {direction}","確率抽選から外れたとき、この枝へ進みます。"
"pin.output.rest","{label} // {direction}","充電休憩が完了した後にこの枝へ進みます。すでに満充電なら、待たずに進みます。"
"pin.output.default","{label} // {direction}","この端子から、次に実行するノードの入力端子へ実行線をつなぎます。"
"package.title","ADD PACKAGE // {packageLabel}",""
"package.no_robot","","追加先のサポートロボットを選択してください。"
"package.core_locked","","コア「{coreLabel}」が未解放のため追加できません: {reason}。"
"package.no_active","","このパッケージに含まれるノードは、現在すべて未解放です。"
"package.skipped_suffix",""," 未解放の {skippedNodes} は省略します。"
"robot.select","SELECT UNIT // {robotName}","この個体を選択し、配置拠点・電力・気力・特性と、個体専用のブループリントを表示します。"
